"Categoría","Subcategoría","Nombre","Presentaciónes","Iconos de uso","¿Qué es?","¿Para qué tipo de vehículo se recomienda?","Beneficios","Recomendaciones de Uso","Nombre de img de producto","Hoja de Seguridad","Ficha Técnica","","","","","","",""
"Aceites Lubricantes","Para motor a Gasolina","Bardahl Formula 1 Sintético Autos Nuevos 5W30 SN  ","950 ml","Auto y Camioneta","Bardahl® 5W-30 API SN Es un aceite de motor sintético de calidad Premium formulado especialmente para cubrir los requerimientos de autos nuevos.","Para autos con motores a gasolina o diesel, de lujo, deportivos y/o con motores turbocargados de último modelo y anteriores. ","Garantiza una máxima protección contra el desgaste de los componentes del motor extendiedo su vida útil. Provee un elevado ahorro de combustible gracias a su fórmula sintética de baja viscosidad*. Alarga el periodo de cambio de aceite hasta por el doble de tiempo en comparación con aceites multigrado convencionales. Cumple y excede las siguientes especificaciones: API SN, ILSAC GF-5, ACEA A3/B4, ACEA A55/B5, MB 229.3 (v 2012.2), VW 502.00/505.00, Renault RN 0710/0700. Recomendado para motores a gasolina de autos y camionetas último modelo y anteriores donde el manual del fabricante recomiende un aceite con calidad de servicio API SN y/o Ilsac GF-5 ó anteriores. *el ahorro de combustible está en función de las condiciones de operación y el estilo de manejo del conductor.","Se aplica directamente en el depósito de aceite para motor. Para autos de 4 cilindros: 3-5 Litros. Autos de 6 cilindros o más: 5-6 Litros.","bardahl-formula-1-sintetico-autos-nuevos-5w30-sn.jpg  ","bardahl-formula-1-sintetico-autos-nuevos-5w30-sn-hs.pdf","bardahl-formula-1-sintetico-autos-nuevos-5w30-sn-ft.pdf","","","","","","",""
"Aceites Lubricantes","Para motor a Gasolina","Bardahl Formula 1 100% Synthetic SAE 5W40 API SN  ","950 ml","Auto y Camioneta","Es un aceite de motor sintético de calidad Premium formulado especialmente para cubrir los requerimientos de autos nuevos.","Recomendado para autos con motores a gasolina o diesel, de lujo, deportivos y/o con motores turbocargados de último modelo y anteriores. ","Garantiza una máxima protección contra el desgaste de los componentes del motor extendiedo su vida útil. Protección insuperable en amplios rangos de temperatura de operación, incluyendo el arranque en frío. Alarga el periodo de cambio de aceite hasta por el doble de tiempo en comparación con aceites multigrado convencionales. Cumple y excede las siguientes especificaciones: API SN/CF, ACEA A3/B4, MB 229.3 (v 2012.2), VW 502.00/505.00, Renault RN 0710/0700, Porsche A40, Opel GM-LL-A/B-025, JASO MA2 (T903-2011). Recomendado para motores a gasolina de autos y camionetas último modelo y anteriores donde el manual del fabricante recomiende un aceite con calidad de servicio API SN o anteriores.","Se aplica directamente en el depósito de aceite para motor. Para autos de 4 cilindros: 3-5 Litros. Autos de 6 cilindros o más: 5-6 Litros.","bardahl-formula-1-100-synthetic-sae-5w40-api-sn.jpg ","bardahl-formula-1-100-synthetic-sae-5w40-api-sn-hs.pdf","bardahl-formula-1-100-synthetic-sae-5w40-api-sn-ft.pdf","","","","","","",""
"Aceites Lubricantes","Para motor a Gasolina","Bardahl Fusión 20W50 SN ","950 ml, 5 l","Auto y Camioneta","Es un lubricante que combina lo mejor de dos tecnologías: Aceite Bardahl API SN + Adtitvo Bardahl 1  para ofrecer un desempeño superior a cualquier aceite de su categoría.","Recomendado para motores a gasolina de autos y camionetas último modelo y anteriores donde el manual del fabricante recomiende un aceite con calidad de servicio API SN o anteriores.","Por su contenido de Aditivo Bardahl 1, el aceite Bardahl Fusión ofrece: Máxima protección contra la fricción desde el arranque hasta la mayor temperatura del motor, mayor eficiencia del motor contribuyendo al ahorro de combustible en comparación con aceites multigrado convencionales, reducción del desgaste duplicando la vida del motor aun en condiciones severas de operación. Demostrado bajo rigurosas pruebas de motor y de banco en Laboratorios certificados en los Estados Unidos. Cumple y excede con la especificación API SN","Se aplica directamente en el depósito de aceite para motor. Para autos de 4 cilindros: 3-5 Litros. Autos de 6 cilindros o más: 5-6 Litros.","bardahl-fusion-20w50-sn.jpg ","bardahl-fusion-20w50-sn-hs.pdf","bardahl-fusion-20w50-sn-ft.pdf","","","","","","",""
"Aceites Lubricantes","Para motor a Gasolina","Bardahl F-1 Racing Oil SAE 40 API SL ","950 ml, 19 l, 208 l","Auto y Camioneta","Es un aceite monogrado para autos con motor a gasolina que son sometidos a severas condiciones de trabajo y temperatura.","Recomendado para la lubricación de automóviles, camiones y camionetas, donde el fabricante recomienda el uso de aceites con la clasificación de servicio API SL.","Ideal para climas cálidos y muy calurosos. Previene el pegado de anillos causado por severas condiciones de operación o largos periodos de uso, máxima protección que alarga la vida del motor, elimina los depositos acumulados.","Se aplica directamente en el depósito de aceite para motor. Autos de 4 cilindros: 3-5 Litros. Autos de 6 cilindros o más: 5-6 Litros.","bardahl-f-1-racing-oil-sae-40-api-sl.jpg ","bardahl-f-1-racing-oil-sae-40-api-sl-hs.pdf","bardahl-f-1-racing-oil-sae-40-api-sl-ft.pdf","","","","","","",""
"Aceites Lubricantes","Para motor a Gasolina","Bardahl F-1 Super Racing Oil SAE 15W40 API SL ","951 ml, 19 l, 208 l","Auto y Camioneta","Es un lubricante elaborado a base de aceites básicos vírgenes , un paquete de aditivos de alta tecnología y un mejorador de índice de viscosidad, para tener un aceite que satisface los requerimientos de los motores, protegiendolos contra el desgaste en el arranque en frio. ","Recomendado para la lubricación de automóvimes y camionetas.","Excelente resistencia a la degradación térmica, excelente protección contra la corrosión y la herrumbre, excelente detergencia y dispersancia.","Se aplica directamente en el depósito de aceite para motor. Para autos de 4 cilindros: 3-5 Litros. Autos de 6 cilindros o más: 5-6 Litros.","bardahl-f-1-super-racing-oil-sae-15w40-api-sl.jpg ","bardahl-f-1-super-racing-oil-sae-15w40-api-sl-hs.pdf","bardahl-f-1-super-racing-oil-sae-15w40-api-sl-ft.pdf","","","","","","",""
"Aceites Lubricantes","Para motor a Gasolina","Bardahl F-1 Super Racing Oil SAE 20W50 API SL ","952 ml, 5 l, 19 l, 208 l","Auto y Camioneta","Es un lubricante elaborado a base de aceites básicos vírgenes , un paquete de aditivos de alta tecnología y un mejorador de índice de viscosidad, para tener un aceite que satisface los requerimientos de los motores, protegiendolos contra el desgaste en el arranque en frio","Recomendado para la lubricación de automóvimes y camionetas.","Excelente resistencia a la degradación térmica, excelente protección contra la corrosión y la herrumbre, excelente detergencia y dispersancia.","Se aplica directamente en el depósito de aceite para motor. Para autos de 4 cilindros: 3-5 Litros. Autos de 6 cilindros o más: 5-6 Litros.","bardahl-f-1-super-racing-oil-sae-20w50-api-sl.jpg ","bardahl-f-1-super-racing-oil-sae-20w50-api-sl-hs.pdf","bardahl-f-1-super-racing-oil-sae-20w50-api-sl-ft.pdf","","","","","","",""
"Aceites Lubricantes","Para motor a Gasolina","Bardahl BIOS MR SL 40  Brick Pouch ","950 ml","Auto y Camioneta","Aceite Multigrado Especialmente diseñado para todo tipo de motores a gasolina con más de 100 000 kilómetros.","Recomendado para motores a gasolina de autos y camionetas con mas de 100 000 kilómetros, modelo 2004 y anteriores donde el manual del fabricante recomiende un aceite con calidad de servicio API SL o anteriores.","Devuelve la potencia perdida del motor, repara fugas y acondiciona las juntas y sellos resecos del motor, remueve los depósitos acumulados que obstruyen el paso de aceite dentro del motor, excelente protección contra el desgaste.","Se aplica directamente en el depósito de aceite para motor. Autos de 4 cilindros: 3-5 Litros. Autos de 6 cilindros o más: 5-6 Litros.","bardahl-bios-mr-sl-40-brick-pouch.jpg ","bardahl-bios-mr-sl-40-brick-pouch-hs.pdf","bardahl-bios-mr-sl-40-brick-pouch-ft.pdf","","","","","","",""
"Aceites Lubricantes","Para motor a Gasolina","Bardahl F-1 Super Racing Oil para más de 100,000 km SAE 25W50 API SL ","950 ml, 5 l, 19 l, 208 l","Auto y Camioneta","Aceite Multigrado Especialmente diseñado para todo tipo de motores a gasolina con más de 100 000 kilómetros.","Recomendado para motores a gasolina de autos y camionetas con mas de 100 000 kilómetros, modelo 2004 y anteriores donde el manual del fabricante recomiende un aceite con calidad de servicio API SL o anteriores.","Devuelve la potencia perdida del motor, repara fugas y acondiciona las juntas y sellos resecos del motor, remueve los depósitos acumulados que obstruyen el paso de aceite dentro del motor, excelente protección contra el desgaste.","Se aplica directamente en el depósito de aceite para motor. Autos de 4 cilindros: 3-5 Litros. Autos de 6 cilindros o más: 5-6 Litros.","bardahl-f-1-super-racing-oil-100000-sae-25w50-api-sl.jpg ","bardahl-f-1-super-racing-oil-100000-sae-25w50-api-sl-hs.pdf","bardahl-f-1-super-racing-oil-100000-sae-25w50-api-sl-ft.pdf","","","","","","",""
"Aditivos","Para Aceite","Bardahl 1","450 ml","Auto y Camioneta","Aditivo Antifriccionante que Evita el desgaste del motor provocado por la fricción, formando una película protectora en el metal","Este producto se recomienda para Automóviles y Camionetas.","Para motores nuevos o recién ajustados, alarga la vida del motor, aumenta la potencia y  es compatible con todos los tipos de aceite.","Se coloca en el depósito del aceite para motor, para autos medianos: 1 lata de 450 ml, para autos grandes y camionetas: 1 lata de 950 ml ó 2 latas de 450 ml. En cada cambio de aceite o como relleno para mantener el nivel correcto de aceite antes de su próximo cambio. Si su motor consume aceite use Bardahl 2®.","bardahl-1.jpg","bardahl-1-hs.pdf","bardahl-1-ft.jpg","","","","","","",""
"Aditivos","Para Aceite","Bardahl 2","450 ml, 950 ml","Auto y Camioneta","Aditivo Estabilizador que evita que el aceite se adelgace previniendo el desgaste provocado por la fricción, prolongado la vida al motor.","Este producto se recomienda para Automóviles y Camionetas.","Para motores que consumen aceite, evita el relleno constante de aceite, alarga la vida del motor y reestablece la potencia al motor.","Autos medianos: 1 lata de 450 ml, Autos grandes y camionetas: 1 lata de 950 ml ó 2 latas de 450 ml. Se coloca en el depósito del aceite para motor. En cada cambio de aceite o como relleno para mantener el nivel correcto de aceite antes de su próximo cambio. Se debe aplicar con el motor encendido.","bardahl-2.jpg","bardahl-2-hs.pdf","bardahl-2-ft.pdf","","","","","","",""
"Aditivos","Para Aceite","Bardahl Special Duty","950 ml","Auto y Camioneta, Camión, Trailer.","Aditivo antifriccionante para motor a diesel de alta concentración que permite a los motores soportar trabajos pesados. 
Recomendados para motores estacionarios, vehículos de transporte público, maquinaria agrícola y de construcción, etc. Con tecnología Bardahl 1","Este producto se recomienda para Camionnes, Tractores, Maquinaria Agrícola y de Construcción.","Reduce la fricción y el calentamiento, ahorra combustible, aumenta potencia, facilita el arranque y prolonga la vida del motor.","Vierta en el depósito de aceite para motor. Use una lata en cada cambio de un 10% a un 20 % de la capacidad del cárter y para mantener el nivel.","bardahl-special-duty.jpg","bardahl-special-duty-hs.pdf","bardahl-special-duty-ft.pdf","","","","","","",""
"Aditivos","Para Combustible","Top Oil Aditivo Limpiador para todo tipo de Gasolinas","300 ml","Auto y Camioneta","Es un aditivo sintético economizador de gasolina que minimiza la formación de depósitos e impurezas en el sistema de combustible.","Este producto se recomienda para Automóviles y Camionetas.","Reduce el consumo de aceite, mantiene el sistema funcionando eficientemente, reduce emisiones contaminantes.","Para mantener el sistema de combustión limpio, se recomienda vertir una botella de 300 ml en cada carga para un tanque de gasolina de hasta 50 L o 2 botellas para tanque mas grandes.","top-oil-aditivo-limpiador-todo-tipo-gasolinas.jpg","top-oil-aditivo-limpiador-todo-tipo-gasolinas-hs.pdf","top-oil-aditivo-limpiador-todo-tipo-gasolinas-ft.pdf","","","","","","",""
"Aditivos","Para Combustible","Top Oil Octane Booster 0-100","250 ml","Auto y Camioneta","Es un aditivio sintético con nanotecnología que incrementa la potencia mejorando la calidad de la gasolina incrementando el índice de octano entre 3 y 5 puntos reales y mejorando la combustión.","Este producto se recomienda para Automóviles y Camionetas.","Mejora la calidad de la gasollina, incrementa la potencia del motor, ahorro de Gasolina y reduce las emisiones contaminantes.","Cuando se desee mejorar el desempeño del motor mejorando la potencia del automóvil, se recomienda vertir una botella de 150 ml para un tanque de gasolina de hasta 50 L o 2 botellas para tanque mas grandes.","top-oil-octane-booster.jpg","top-oil-octane-booster-hs.pdf","top-oil-octane-booster-ft.pdf","","","","","","",""
"Aditivos","Para Combustible","Top Oil Aditivo Limpiador de Inyectores","300 ml","Auto y Camioneta","Es un Aditivo sintético que limpia el sistema de combustible y sus componentes tales como inyectores, válvulas y cámara de combustión.","Este producto se recomienda para Automóviles y Camionetas.","Limpia por completo los inyectores sucios, evita la formación de impurezas y depósitos y es antioxidante.","Para una una limpieza profunda, se recomienda vertir una botella de 150ml por cada tanque de gasolina de hasta 50 L o 2 botellas para tanque mas grandes y para mantener el sistema limpio se recomienda su uso por lo menos una vez al mes. ","top-oil-aditivo-limpiador-Inyectores.jpg","top-oil-aditivo-limpiador-Inyectores-hs.pdf","top-oil-aditivo-limpiador-Inyectores-ft.pdf","","","","","","",""
"Aditivos","Para Combustible","Top Oil Premium","473 ml","Auto y Camioneta","Es un aditivo de máximo desempeño para motores a gasolina que limpia por completo el sistema de combustión y aunmenta la potencia.","Este producto se recomienda para Automóviles y Camionetas.","Remueve los depósitos en todo el sistema, alarga los periodos de afinación, ahorra gasolina, mejora el desempeño del motor del auto y reduce contaminantes.","Agregue un bote de 473 ml al tanque de gasolina cada 10,000 km o 3 meses y antes de la siguiente verificación para mantener el vehículo en óptimas condiciones.","top-oil-premium.jpg","top-oil-premium-hs.pdf","top-oil-premium-ft.pdf","","","","","","",""
"Aditivos","Para Combustible","Bardahl Aditivo para Diesel","350 ml, 950 ml","Camión, Trailer","Aditivo detergente limpiador de los sistemas de inyección en motores a diesel.","Este producto se recomienda para Camionnes, Tractores, Maquinaria Agrícola y de Construcción.","Elimina humos, limpia inyectores y sistema de combustión, optimiza el combustible, lubrica la bomba de inyección, facilita el arranque y aumenta la potencia en el motor.","Agrega Aditivo para Diesel cada  que desee optimizar consumo  de combustible. Para mejores resultados utiliza 350 ml. por cada 200 litros de combustible.","bardahl-aditivo-diesel.jpg","bardahl-aditivo-diesel-hs.pdf","bardahl-aditivo-diesel-ft.pdf","","","","","","",""
"Aditivos","Para Combustible","Top Oil Nanox","150 ml","Auto y Camioneta","Es un aditivo sintético con nanotecnología que limpia y lubrica el sistema de combustión, disolviendo las impurezas de la gasolina.","Este producto se recomienda para Automóviles y Camionetas.","Sitema de Mantenimiento y limpieza, ayuda a eliminar impurezas en la gasolina, mejora la combustión y ahorra gasolina, reduce las emisiones contaminantes, alarga los períodos de afinación.","Para mantener el sistema de combustión limpio, se recomienda vertir una botella de 150 ml en cada carga para un tanque de gasolina de hasta 50 L o 2 botellas para tanque mas grandes.","top-oil-nanox.jpg","top-oil-nanox-hs.pdf","top-oil-nanox-ft.pdf","","","","","","",""
"Aditivos","Para Combustible","Top Oil Nanox Limpiador de Inyectores","150 ml","Auto y Camioneta","Es un Aditivo sintético con nanotecnología que provee una limpieza profunda de los inyectores de gasolina, válvulas y el sistema de combustión a nivel microscópico.","Este producto se recomienda para Automóviles y Camionetas.","Limpieza profunda del sistema de combustible e inyección, reduce emisiones contaminantes, compatibilidad con todo tipo de gasolinas, ahorra Gasolina, mejora la respuesta de aceleración y alraga los periodos de Afinación.","Para una una limpieza profunda, se recomienda vertir una botella de 150ml por cada tanque de gasolina de hasta 50 L o 2 botellas para tanque mas grandes y para mantener el sistema limpio se recomienda su uso por lo menos una vez al mes","top-oil-nanox-limpiador-inyectores.jpg","top-oil-nanox-limpiador-inyectores-hs.pdf","top-oil-nanox-limpiador-inyectores-ft.pdf","","","","","","",""
"Aditivos","Para Aceite","Bardahl Bital","473 ml","Auto y Camioneta, Camión, Trailer.","Aditivo que incrementa la viscosidad del aceite en los motores que por su prolongado uso emiten humo azul de manera visible.","Este producto se recomienda para automóviles y camionetas, camiones y trailers.","Reduce la emisión de humo azul, reduce el consumo de aceite, restablece la compresión del motor y es totalmente compatible con todos los aceites de motor.","Vierta en el depósito de aceite para motor. Use una botella en cada cambio y para mantener el nivel. Para una rápida integración añádalo con el motor caliente o mejor aún si está funcionando. No agregar si el motor esta frio","bardahl-bital.jpg","bardahl-bital-hs.pdf","bardahl-bital-ft.pdf","","","","","","",""
"Anticongelantes","Para motor a Gasolina","Bardahl Anticongelante Coolant Larga Vida","19 l, 200 l","Auto y Camioneta, Camión, Trailer.","Es un fluido refrigerante de larga duración elaborado a base de etilenglicol e inhibidores de corrosión de tecnología hibrida (HOAT*) preparado con la dilución correcta (50/50%) listo para usarse y proteger al sistema de enfriamiento de cualquier vehículo automotriz. *HOAT: Tecnología Hibrida de Ácidos Orgánicos.","Este producto se recomienda para automóviles y camionetas, camiones y trailers.","Tiene una vida extendida de hasta 5 años, 3000 hrs ó 240,000 kms, es compatible con otros refrigerantes hasta un 20%, ya que a una mezcla mayor, disminuye sus propiedades y beneficios.
Recomendado para unidades de servicio pesado y automóviles, recomendado y formulado para ser usado en todos los automóviles americanos, europeos y asiáticos. Es amigable con el medio ambiente, debido a que no contiene fosfatos, nitratos, boratos ni silicatos y cumple completamente los requerimientos de las aplicaciones de motores Diesel.","Se debe retirar el líquido anterior y reemplazar por líquido nuevo con la ayuda de un especialista. No requiere mezclarse con Agua.","bardahl-anticongelante-coolant-larga-vida.jpg","bardahl-anticongelante-coolant-larga-vida-hs.pdf","bardahl-anticongelante-coolant-larga-vida-ft.pdf","","","","","","",""
"Anticongelantes","Para motor a Diesel","Bardahl Anticongelante Heavy Duty","19 l, 200 l, 1 gal","Trailer","Es un fluido que permite mantener la temperatura del motor en el nivel óptimo para evitar su calentamiento o congelación.","Este producto se recomienda para el uso en trailers.","Protección a todos los metales que conforman al motor y su sistema de enfriamiento. Posee varias ventajas asociadas a los complementes orgánicos de larga duración que incluye su formulación. No forma geles con aguas duras.","Recomendado para sistemas de enfriamiento de camiones con motores a diesel de servicio pesado. De acuerdo a sus necesidades, mezcle con la cantidad de agua necesaria según la tabla de protección.","bardahl-anticongelante-heavy-duty.jpg","bardahl-anticongelante-heavy-duty-hs.pdf","bardahl-anticongelante-heavy-duty-ft.pdf","","","","","","",""
"Anticongelantes","Para motor a Gasolina","Bardahl Anticongelante Coolant","1 l, 1 gal, 19 l, 200 l","Auto y Camioneta","Es un fluido que permite mantener la temperatura del motor en el nivel óptimo para evitar su calentamiento o congelación.","Este producto se recomienda para Automóviles y Camionetas.","Evita calentamientos excesivos, no se congela en temperaturas extremas, protege la bomba de agua y las mangueras del sistema, ahorro por rellenos frecuentes al reducir la evaporación y facilita la identificación de fugas en el sistema por su color distintivo.","Se debe retirar el líquido anterior y reemplazar por líquido nuevo cada 6 meses con la ayuda de un especialista. Listo para usarse.","bardahl-anticongelante-coolant.jpg","bardahl-anticongelante-coolant-hs.pdf","bardahl-anticongelante-coolant-ft.pdf","","","","","","",""
"Anticongelantes","Para motor a Gasolina","Bardahl  Anticongelante Coolant Inteligente","2 l, 1 gal, 19 l, 200 l","Auto y Camioneta","Es un fluido que permite mantener la temperatura del motor en el nivel óptimo para evitar su calentamiento o congelación.","Este producto se recomienda para Automóviles y Camionetas.","Cambia de color cuando se deba hacer el cambio, evita calentamientos excesivos, no se congela en temperaturas extremas, protege la bomba de agua y las mangueras del sistema y genera ahorros por rellenos frecuentes al reducir la evaporación.","Se debe retirar el líquido anterior y reemplazar por líquido nuevo cuando el color rosa cambie a amarillo con la ayuda de un especialista. Listo para usarse.","bardahl-anticongelante-coolant-inteligente.jpg","bardahl-anticongelante-coolant-inteligente-hs.pdf","bardahl-anticongelante-coolant-inteligente-ft.pdf","","","","","","",""
"Aplicaciones Especiales","Para motor a Gasolina","Bardahl Fluido para Dirección Hidráulica","350 ml","Auto y Camioneta, Camión, Trailer.","Fluido diseñado para ser utilizado en direcciones hidráulicas, y algunas transmisiones automáticas y transejes.","Para autos y camionetas, Camiones y Trailers.","Maniobras suaves y silenciosas durante el manejo, protege sellos y hules de la dirección, reduce la fricción y protege contra el desgaste. Su formulación ofrece alta estabilidad térmica y resistencia contra la oxidación bajo cualquier condicion de operación","Vierta el contenido del envase directamente en el depósito de la dirección hidráulica sin exceder la marca del máximo nivel. Después de añadir, gire el volante en ambos sentidos para desalojar el aire y verifique que el nivel sea el correcto.","bardahl-fluido-direccion-hidraulica.jpg","bardahl-fluido-direccion-hidraulica-hs.pdf","bardahl-fluido-direccion-hidraulica-ft.pdf","","","","","","",""
"Aplicaciones Especiales","Para Combustible","Bardahl Presión Extrema","120 ml, 19 l","Auto y Camioneta, Camión, Trailer.","Aditivo para ser incorporado en transmisiones manuales, diferenciales y  engranes con altas cargas y temperaturas.","Este producto se recomienda para automóviles y camionetas, camiones y trailers.","Reduce la fricción y el desgaste, permite un funcionamiento suave y silencioso, disminuye la temperatura en el sistema, protege contra la corrosión y proporciona una gran capacidad de carga.","Vierta el contenido del envase en la caja de velocidades standard y el contenido de un nuevo envase en el diferencial.","bardahl-presion-extrema.jpg","bardahl-presion-extrema-hs.pdf","bardahl-presion-extrema-ft.pdf","","","","","","",""
"Aplicaciones Especiales","Para Combustible","Bardahl Aditivo para Transmisión Automática","450 ml","Auto y Camioneta","Aditivo recuperador de viscosidad, diseñado para ser agregado al fluido utilizado en las transmisiones automáticas.","Este producto se recomienda para Automóviles y Camionetas.","Elimina cambios bruscos y jaloneo, elimina las fugas, protege las partes plásticas o de hule, recupera la viscosidad perdida por el trabajo, reacondiciona sellos y juntas, prolonga la vida de la transmisión.","Vierta todo el contenido de la lata a la caja de transmisión automática, o en el compartimento de la dirección hidráulica para mantener el nivel.
Si se cambia por completo el fluido hidráulico, sustituya entre 10% y el 20 % con Bardahl aditivo para transmisión automática.","bardahl-aditivo-transmision-automatica.jpg","bardahl-aditivo-transmision-automatica-hs.pdf","bardahl-aditivo-transmision-automatica-ft.pdf","","","","","","",""
"Aplicaciones Especiales","Para Combustible","Bardahl Aditivo para Radiador","350 ml","Auto y Camioneta, Camión, Trailer.","Aditivo que evita la obstrucción de mangueras ocasionado por el sarro en el sistema de enfriamiento.","Este producto se recomienda para automóviles y camionetas, camiones y trailers.","Protege contra la oxidación y la corrosión, lubrica la bomba del agua y termostato, protege hules y empaques. Se recomienda  para ser usado en todo tipo de automóviles.","Es recomendado para usarse en los sistemas de enfriamiento de vehículos automotrices, vacié el bote completo al tanque de recuperación del vehículo.","bardahl-aditivo-radiador.jpg","bardahl-aditivo-radiador-hs.pdf","bardahl-aditivo-radiador-ft.pdf","","","","","","",""
"Aplicaciones Especiales","","Bardahl Líquido para Batería","500 ml","Auto y Camioneta","Es agua 100% desmineralizada obtenida a través de un proceso rigurosamente controlado para eliminarle todo tipo de sales, con el propósito de alargar la vida útil de la batería automotriz.","Este producto se recomienda para Automóviles y Camionetas.","Restaura la eficiencia de la batería, no forma incrustaciones en las celdas, no contiene material acido.","Se recomienda para mantener el nivel del electrolito de las baterías automotrices que permiten mantenimiento.","bardahl-liquido-bateria.jpg","bardahl-liquido-bateria-hs.pdf","bardahl-liquido-bateria-ft.pdf","","","","","","",""
"Aplicaciones Especiales","","Bardahl WB-50","215 gr","Auto y Camioneta","Es un producto en aerosol elaborado a base de destilados de petróleo, lubricantes, antiherrumbrantes, tenso activos y desengrasantes para conformar un producto de excelente calidad como aceite penetrante que permite destrabar partes oxidadas, desplazar la humedad, disolver grasa, mugre y formar capas protectoras en piezas metálicas expuestas al medio ambiente o en ambientes muy húmedos","Este producto se recomienda para Automóviles y Camionetas.","Alta capacidad penetrante que permite destrabar piezas oxidadas con un mínimo de esfuerzo. Alta capacidad antiherrumbrante para protección de piezas metálicas en ambientes húmedos. Alta capacidad desengrasante. Eficiente desplazador de humedad.","Se recomienda para lubricación y el destrabe de piezas oxidadas, para proteger piezas metálicas expuestas a ambientes altamente húmedos, para desplazar humedad en circuitos eléctricos.
También para lubricar todo tipo de mecanismos movibles en la casa o la oficina; como: bisagras, herramientas, cadenas de bicicletas, tornillos, candados, juguetes mecánicos, switches eléctricos, relevadores, interruptores, etc.","bardahl-wb-50.jpg","bardahl-wb-50-hs.pdf","bardahl-wb-50-ft.pdf","","","","","","",""
"Aplicaciones Especiales","","Bardahl Arrancador","310 gr","","Facilita el arranque inicial de motores a diésel que se encuentran en lugares extremadamente fríos o en largo periodo de inactividad.","","Su alto poder de ignición proporciona al motor la facilidad de arrancar al primer intento y sus lubricantes facilitan el deslizamiento del pistón. Prolonga la vida de la batería, facilita el arranque en seco, excelente desempeño en frio, lubrica la parte superior de la cámara de combustión.","Aplique el producto con la lata en posición vertical, rocié en el purificador o en la toma de aire 2 o 3 segundos, aplique marcha al motor, si el motor se detiene repita el proceso.","bardahl-arrancador.jpg","bardahl-arrancador-hs.pdf","bardahl-arrancador-ft.pdf","","","","","","",""
"Líquidos de frenos","","Bardahl Liquido para Frenos, DOT-3","350 ml, 900 ml","Auto y Camioneta","Es un líquido que se encarga de llevar la fuerza que se aplica al pedal de frenado hacia las balatas, logrando  con esto que se detenga el automovil.","Este producto se recomienda para Automóviles y Camionetas.","Frenado suave y oportuno. Para frenos de disco, tambor o mixtos, evita la corrosión y oxidación, ayuda a evitar agrietamiento de mangueras. Cumple con los requerimientos de la norma oficial mexicana NOM-113-SCFI-1995. Cumple con las normas internacionales FMVSS 116 DOT3 y SAE J 1703 DOT3. Compatible con otros líquidos calidad DOT3 ó LF3.","Debe cambiarse totalmente cada año. Es importante que el deposito siempre se encuentre en su nivel optimo y se debe rellenar cuando esté por debajo del minimo.   ","bardahl-liquido-frenos-dot-3.jpg","bardahl-liquido-frenos-dot-3-hs.pdf","bardahl-liquido-frenos-dot-3-ft.pdf","","","","","","",""
"Líquidos de frenos","","Bardahl Liquido para Frenos, DOT-4","350 ml, 900 ml","Auto y Camioneta","Es un líquido que se encarga de llevar la fuerza que se aplica al pedal de frenado hacia las balatas, logrando  con esto que se detenga el automovil.","Este producto se recomienda para Automóviles y Camionetas.","Mayor control y precisión en el frenado, resiste mayores temperaturas. Diseñado especialmente para sistemas ABS, evita la corrosión y oxidación, no agrieta las mangueras. Cumple con los requerimientos de la norma oficial mexicana NOM-113-SCFI-1995. Cumple con las normas internacionales FMVSS 116 DOT4 y SAE J 1703 DOT4. Compatible con otros líquidos calidad LF 4 o DOT4.   ","Debe cambiarse totalmente cada año. Es importante que el deposito siempre se encuentre en su nivel optimo y se debe rellenar cuando esté por debajo del minimo.   ","bardahl-liquido-frenos-dot-4.jpg","bardahl-liquido-frenos-dot-4-hs.pdf","bardahl-liquido-frenos-dot-4-ft.pdf","","","","","","",""
