"Categoría","Subcategoría","Nombre","Presentaciónes","Iconos de uso","¿Qué es?","¿Para qué tipo de vehículo se recomienda?","Beneficios","Recomendaciones de Uso","Nombre de img de producto","Hoja de Seguridad","Ficha Técnica"
"Aditivos","Para Aceite","Bardahl 1","450 ml","Auto y Camioneta","","","","","bardahl-1.jpg","bardahl-1-hs.pdf","bardahl-1-ft.jpg"
"Aditivos","Para Aceite","Bardahl 2","450 ml, 950 ml","Auto y Camioneta","","","","","bardahl-2.jpg","bardahl-2-hs.pdf","bardahl-2-ft.pdf"
"Aditivos","Para Aceite","Bardahl Special Duty","950 ml","","","","","","bardahl-special-duty.jpg","bardahl-special-duty-hs.pdf","bardahl-special-duty-ft.pdf"
"Aditivos","Para Combustible","Top Oil Aditivo Limpiador para todo tipo de Gasolinas","300 ml","","","","","","top-oil-aditivo-limpiador-todo-tipo-gasolinas.jpg","top-oil-aditivo-limpiador-todo-tipo-gasolinas-hs.pdf","top-oil-aditivo-limpiador-todo-tipo-gasolinas-ft.pdf"
"Aditivos","Para Combustible","Top Oil Octane Booster 0-100","250 ml","","","","","","top-oil-octane-booster.jpg","top-oil-octane-booster-hs.pdf","top-oil-octane-booster-ft.pdf"
"Aditivos","Para Combustible","Top Oil Aditivo Limpiador de Inyectores","300 ml","","","","","","top-oil-aditivo-limpiador-Inyectores.jpg","top-oil-aditivo-limpiador-Inyectores-hs.pdf","top-oil-aditivo-limpiador-Inyectores-ft.pdf"
"Aditivos","Para Combustible","Top Oil Premium","473 ml","","","","","","top-oil-premium.jpg","top-oil-premium-hs.pdf","top-oil-premium-ft.pdf"
"Aditivos","Para Combustible","Bardahl Aditivo para Diesel","350 ml, 950 ml","","","","","","bardahl-aditivo-diesel.jpg","bardahl-aditivo-diesel-hs.pdf","bardahl-aditivo-diesel-ft.pdf"
"Aditivos","Para Combustible","Top Oil Nanox","150 ml","","","","","","top-oil-nanox.jpg","top-oil-nanox-hs.pdf","top-oil-nanox-ft.pdf"
"Aditivos","Para Combustible","Top Oil Nanox Limpiador de Inyectores","150 ml","","","","","","top-oil-nanox-limpiador-inyectores.jpg","top-oil-nanox-limpiador-inyectores-hs.pdf","top-oil-nanox-limpiador-inyectores-ft.pdf"
"Aditivos","Para Combustible","Bardahl Presión Extrema","120 ml, 19 l","","","","","","bardahl-presion-extrema.jpg","bardahl-presion-extrema-hs.pdf","bardahl-presion-extrema-ft.pdf"
"Aditivos","Para Combustible","Bardahl Aditivo para Transmisión Automática","450 ml","","","","","","bardahl-aditivo-transmision-automatica.jpg","bardahl-aditivo-transmision-automatica-hs.pdf","bardahl-aditivo-transmision-automatica-ft.pdf"
"Aditivos","Para Combustible","Bardahl Aditivo para Radiador","350 ml","","","","","","bardahl-aditivo-radiador.jpg","bardahl-aditivo-radiador-hs.pdf","bardahl-aditivo-radiador-ft.pdf"
"Aditivos","Para Aceite","Bardahl Bital","473 ml","","","","","","bardahl-bital.jpg","bardahl-bital-hs.pdf","bardahl-bital-ft.pdf"
"Anticongelantes","Para motor a Gasolina","Bardahl Anticongelante Coolant Larga Vida","19 l, 200 l","","","","","","bardahl-anticongelante-coolant-larga-vida.jpg","bardahl-anticongelante-coolant-larga-vida-hs.pdf","bardahl-anticongelante-coolant-larga-vida-ft.pdf"
"Anticongelantes","Para motor a Gasolina","Bardahl Anticongelante Refrigerante","1 l, 1 gal, 19 l, 200 l, C/100","","","","","","bardahl-anticongelante-refrigerante.jpg","bardahl-anticongelante-refrigerante-hs.pdf","bardahl-anticongelante-refrigerante-ft.pdf"
"Anticongelantes","Para motor a Diesel","Bardahl Anticongelante Heavy Duty","19 l, 200 l, 1 gal","","","","","","bardahl-anticongelante-heavy-duty.jpg","bardahl-anticongelante-heavy-duty-hs.pdf","bardahl-anticongelante-heavy-duty-ft.pdf"
"Anticongelantes","Para motor a Gasolina","Bardahl Anticongelante Coolant","1 l, 1 gal, 19 l, 200 l","","","","","","bardahl-anticongelante-coolant.jpg","bardahl-anticongelante-coolant-hs.pdf","bardahl-anticongelante-coolant-ft.pdf"
"Anticongelantes","Para motor a Gasolina","Bardahl  Anticongelante Coolant Inteligente","2 l, 1 gal, 19 l, 200 l","","","","","","bardahl-anticongelante-coolant-inteligente.jpg","bardahl-anticongelante-coolant-inteligente-hs.pdf","bardahl-anticongelante-coolant-inteligente-ft.pdf"
"Aplicaciones Especiales","","Bardahl Líquido para Batería","500 ml","","","","","","bardahl-liquido-bateria.jpg","bardahl-liquido-bateria-hs.pdf","bardahl-liquido-bateria-ft.pdf"
"Aplicaciones Especiales","","Bardahl WB-50","215 gr","","","","","","bardahl-wb-50.jpg","bardahl-wb-50-hs.pdf","bardahl-wb-50-ft.pdf"
"Aplicaciones Especiales","","Bardahl Arrancador","310 gr","","","","","","bardahl-arrancador.jpg","bardahl-arrancador-hs.pdf","bardahl-arrancador-ft.pdf"
"Aplicaciones Especiales","","Bardahl Liquido Limpiaparabrisas ","1 l","","","","","","bardahl-liquido-limpiaparabrisas.jpg","bardahl-liquido-limpiaparabrisas-hs.pdf","bardahl-liquido-limpiaparabrisas-ft.pdf"
"Aplicaciones Especiales","","Bardahl Cera Líquida ","250 ml","","","","","","bardahl-cera-liquida.jpg","bardahl-cera-liquida-hs.pdf","bardahl-cera-liquida-ft.pdf"
"Aplicaciones Especiales","","Bardahl Solución Total ","600 ml, 19 l, 200 l","","","","","","bardahl-solucion-total.jpg","bardahl-solucion-total-hs.pdf","bardahl-solucion-total-ft.pdf"
"Aplicaciones Especiales","","Bardahl Abrillanta ","600 ml","","","","","","bardahl-abrillanta.jpg","bardahl-abrillanta-hs.pdf","bardahl-abrillanta-ft.pdf"
"Aplicaciones Especiales","","Bardahl Quita Manchas ","600 ml, 19 l, 200 l","","","","","","bardahl-quita-manchas.jpg ","bardahl-quita-manchas-hs.pdf","bardahl-quita-manchas-ft.pdf"
"Líquidos de frenos","","Bardahl Liquido para Frenos, DOT-3","350 ml, 900 ml","","","","","","bardahl-liquido-frenos-dot-3.jpg","bardahl-liquido-frenos-dot-3-hs.pdf","bardahl-liquido-frenos-dot-3-ft.pdf"
"Líquidos de frenos","","Bardahl Liquido para Frenos, DOT-4","350 ml, 900 ml","","","","","","bardahl-liquido-frenos-dot-4.jpg","bardahl-liquido-frenos-dot-4-hs.pdf","bardahl-liquido-frenos-dot-4-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl Motos 2T JASO  FB","250 ml, 950 ml, 208 l","","","","","","bardahl-motos-2t-jaso-fb.jpg","bardahl-motos-2t-jaso-fb-hs.pdf","bardahl-motos-2t-jaso-fb-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl Motos 4T JASO","950 ml","","","","","","bardahl-motos-4t-jaso.jpg","bardahl-motos-4t-jaso-hs.pdf","bardahl-motos-4t-jaso-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl Naútico Super Bia TCW3","950 ml","","","","","","bardahl-nautico-super-bia-tcw3.jpg","bardahl-nautico-super-bia-tcw3-hs.pdf","bardahl-nautico-super-bia-tcw3-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl Náutico Bia TCW","950 ml","","","","","","bardahl-nautico-bia-tcw.jpg","bardahl-nautico-bia-tcw-hs.pdf","bardahl-nautico-bia-tcw-ft.pdf"
"Aceites Lubricantes","Para Transmisión","Bardahl ATF ","950 ml, 1 gal, 19 l, 208 l","","","","","","bardahl-atf.jpg","bardahl-atf-hs.pdf","bardahl-atf-ft.pdf"
"Aceites Lubricantes","Para Transmisión","Bardahl ATF-3 ","950 ml, 19 l, 208 l","","","","","","bardahl-atf-3.jpg ","bardahl-atf-3-hs.pdf","bardahl-atf-3-ft.pdf"
"Aceites Lubricantes","Para Transmisión","Bardahl ATF Universal Fully Syn","19 l","","","","","","bardahl-atf-universal-fully-syn.jpg","bardahl-atf-universal-fully-syn-hs.pdf","bardahl-atf-universal-fully-syn-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl ATF-II Para más de 100,000 km","950 ml","","","","","","bardahl-atf-II-100000.jpg","bardahl-atf-II-100000-hs.pdf","bardahl-atf-II-100000-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl Fluido para Dirección Hidráulica","350 ml","","","","","","bardahl-fluido-direccion-hidraulica.jpg","bardahl-fluido-direccion-hidraulica-hs.pdf","bardahl-fluido-direccion-hidraulica-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl Formula 1 Sintético Autos Nuevos 5W30 SN  ","950 ml","","","","","","bardahl-formula-1-sintetico-autos-nuevos-5w30-sn.jpg  ","bardahl-formula-1-sintetico-autos-nuevos-5w30-sn-hs.pdf","bardahl-formula-1-sintetico-autos-nuevos-5w30-sn-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl Formula 1 100% Synthetic SAE 5W40 API SN  ","950 ml","","","","","","bardahl-formula-1-100-synthetic-sae-5w40-api-sn.jpg ","bardahl-formula-1-100-synthetic-sae-5w40-api-sn-hs.pdf","bardahl-formula-1-100-synthetic-sae-5w40-api-sn-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl Fusión 20W50 SN ","950 ml, 5 l","","","","","","bardahl-fusion-20w50-sn.jpg ","bardahl-fusion-20w50-sn-hs.pdf","bardahl-fusion-20w50-sn-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl F-1 Super Racing Oil SAE 10W30 API SL ","208 l","","","","","","bardah- f-1-super-racing-oil-sae-10w30-api-sl.jpg ","bardah- f-1-super-racing-oil-sae-10w30-api-sl-hs.pdf","bardah- f-1-super-racing-oil-sae-10w30-api-sl-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl F-1 Racing Oil SAE 40 API SL ","950 ml, 19 l, 208 l","","","","","","bardahl-f-1-racing-oil-sae-40-api-sl.jpg ","bardahl-f-1-racing-oil-sae-40-api-sl-hs.pdf","bardahl-f-1-racing-oil-sae-40-api-sl-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl F-1 Super Racing Oil SAE 15W40 API SL ","951 ml, 19 l, 208 l","","","","","","bardahl-f-1-super-racing-oil-sae-15w40-api-sl.jpg ","bardahl-f-1-super-racing-oil-sae-15w40-api-sl-hs.pdf","bardahl-f-1-super-racing-oil-sae-15w40-api-sl-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl F-1 Super Racing Oil SAE 20W50 API SL ","952 ml, 5 l, 19 l, 208 l","","","","","","bardahl-f-1-super-racing-oil-sae-20w50-api-sl.jpg ","bardahl-f-1-super-racing-oil-sae-20w50-api-sl-hs.pdf","bardahl-f-1-super-racing-oil-sae-20w50-api-sl-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl BIOS MR SL 40  Brick Pouch ","950 ml","","","","","","bardahl-bios-mr-sl-40-brick-pouch.jpg ","bardahl-bios-mr-sl-40-brick-pouch-hs.pdf","bardahl-bios-mr-sl-40-brick-pouch-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl F-1 Super Racing Oil para más de 100,000 km SAE 25W50 API SL ","950 ml, 5 l, 19 l, 208 l","","","","","","bardahl-f-1-super-racing-oil-100000-sae-25w50-api-sl.jpg ","bardahl-f-1-super-racing-oil-100000-sae-25w50-api-sl-hs.pdf","bardahl-f-1-super-racing-oil-100000-sae-25w50-api-sl-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl Diesel Oil SAE 15W40 API CH-4/SJ ","19 l, 208 l","","","","","","bardahl-diesel-oil-sae-15w40-api-ch-4-sj.jpg ","bardahl-diesel-oil-sae-15w40-api-ch-4-sj-hs.pdf","bardahl-diesel-oil-sae-15w40-api-ch-4-sj-ft.pdf"
"Aceites Lubricantes","Para Transmisión","Bardahl Gear Oil SAE 90 API GL-1 ","950 ml, 19 l, 208 l","","","","","","bardahl-gear-oil-sae-90-api-gl-1.jpg ","bardahl-gear-oil-sae-90-api-gl-1-hs.pdf","bardahl-gear-oil-sae-90-api-gl-1-ft.pdf"
"Aceites Lubricantes","Para Transmisión","Bardahl Gear Oil SAE 140 API GL-1 ","951 ml, 19 l, 208 l","","","","","","bardahl-gear-oil-sae-140-api-gl-1.jpg ","bardahl-gear-oil-sae-140-api-gl-1-hs.pdf","bardahl-gear-oil-sae-140-api-gl-1-ft.pdf"
"Aceites Lubricantes","Para Transmisión","Bardahl Gear Oil SAE 250 API GL-1 ","952 ml, 19 l, 208 l","","","","","","bardahl-gear-oil-sae-250-api-gl-1.jpg ","bardahl-gear-oil-sae-250-api-gl-1-hs.pdf","bardahl-gear-oil-sae-250-api-gl-1-ft.pdf"
"Aceites Lubricantes","Para Transmisión","Bardahl Gear Oil SAE 80W90 API GL-5 ","952 ml, 19 l, 208 l","","","","","","bardahl-gear-oil-sae-80w90-api-gl-5.jpg ","bardahl-gear-oil-sae-80w90-api-gl-5-hs.pdf","bardahl-gear-oil-sae-80w90-api-gl-5-ft.pdf"
"Aceites Lubricantes","Para Transmisión","Bardahl Gear SAE 85W140 Oil GL-5 ","952 ml, 19 l, 208 l","","","","","","bardahl-gear-sae-85w140-oil-gl-5.jpg ","bardahl-gear-sae-85w140-oil-gl-5-hs.pdf","bardahl-gear-sae-85w140-oil-gl-5-ft.pdf"
"Aceites Lubricantes","Para Transmisión","Bardahl Gear Oil Fully Syn SAE 75W90 API GL-5 ","19 l","","","","","","bardahl-gear-oil-fully-syn-sae-75w90-API-gl-5.jpg ","bardahl-gear-oil-fully-syn-sae-75w90-API-gl-5-hs.pdf","bardahl-gear-oil-fully-syn-sae-75w90-API-gl-5-ft.pdf"
"Aceites Lubricantes","Para Transmisión","Bardahl Gear Oil Fully Syn SAE 80W140 API GL-5","19 l","","","","","","bardahl-gear-oil-fully-syn-sae-80w140-api-gl-5.jpg","bardahl-gear-oil-fully-syn-sae-80w140-api-gl-5-hs.pdf","bardahl-gear-oil-fully-syn-sae-80w140-api-gl-5-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl F-1 Diesel Oil SAE 40 API CF ","19 l, 208 l","","","","","","bardahl-f-1-diesel-oil-sae-40-api-cf.jpg ","bardahl-f-1-diesel-oil-sae-40-api-cf-hs.pdf","bardahl-f-1-diesel-oil-sae-40-api-cf-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl F-1 Diesel Oil SAE 50 API CF ","19 l, 208 l","","","","","","bardahl-f-1-diesel-oil-sae-50-api-cf.jpg ","bardahl-f-1-diesel-oil-sae-50-api-cf-hs.pdf","bardahl-f-1-diesel-oil-sae-50-api-cf-ft.pdf"
"Aceites Lubricantes","Para motor a Gasolina","Bardahl Super Diesel Oil MB3 SAE 15W40 API CI-4/SL ","19 l, 208 l, C/100","","","","","","bardahl-super-diesel-oil-mb3-sae-15w40-api-ci-4-sl.jpg ","bardahl-super-diesel-oil-mb3-sae-15w40-api-ci-4-sl-hs.pdf","bardahl-super-diesel-oil-mb3-sae-15w40-api-ci-4-sl-ft.pdf"
